"authority","source","ownerTo","destination","label","label (right)","symbol","Sum(uiAmount)","Sum(amount)"
"2LCo15Svz9jtN4ckPQP9szzGYXwio8qWv3JumhiZT8dP","GXrCDK6gEUEZAjqJzmfoxQLJyqk1SdJRjNpSJgw8gnw1","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",439,439000000
"2LCrVm8tYggduVkz3pyr21dsMtaPHvRrniaYSxphHnLL","9NCNeue7ZUjKg3og1riXFYsuHbxYZeGdToSuEjredikB","0","DHUCLQ27Pq3QPvjqcnn339VhFAPRAohCQ2JAPBZaLKDZ",,,"USDC",139,139000000
"2LCrVm8tYggduVkz3pyr21dsMtaPHvRrniaYSxphHnLL","9NCNeue7ZUjKg3og1riXFYsuHbxYZeGdToSuEjredikB","5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs","DHUCLQ27Pq3QPvjqcnn339VhFAPRAohCQ2JAPBZaLKDZ",,"ray hack funder (addr4)","USDC",139,139000000
"2LbxQ97vB4dZgGzX2BDMTxG5DLHyKsLZiXz5hoKfRiaX","1Jwu7xuHtsF4F7tZ2JBFuiZfjdrzBiLJhhPyJGa8dkH","6S8YybHw7tS64cPDX7Tf956AipssEPDSB1BfsweHv16X","ACRc52Wi2iB83DxACtq4z1juYFpTPi8M1UmLEL1khJWa",,,"USDC",79.930344,79930344
"2M3D7qVmMbBXYtUdFJgT9PfvmT88Q4CEs9TTx8zjWXDf","D67YdBhFcjL8gHqq9LUP6jiefTrrKm5Saohup68JUYqf","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",1.76,1760000
"2MLPopYtpS3ePvZmNcMCoHbfRVf6pZS1KVvurJvjCL73","3MKpUQH1zviCA5d95dUaBfbLLFPh1v3uwvkpupTCHhP1","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",299.932702,299932702
"2NC8jUah3ymkSkg8SvdTvmL2V9C4JsM6yx5czxJxM268","5XxxBkvAS8Y9yF7WCge5rrEP3h1ptjQBfkS92sqcyk33","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",3000,3000000000
"2NTsLueGqrADCrwiejciuo9LjhYGPPmgKJSAe3ecutxN","8J3L8pV6r89VadyPHPJazCXe92331cdqXQ3m4Brir4MQ","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",54906.97,54906970000
"2NW7AwxHbqxRq9DyGruQH9VauaTRsJ7dK1jjaZYbjpN8","AHGAH4S5yEQQKzQFkWAB2A18Yhe4e6Sh1zJ5BwFJMCrK","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",50,50000000
"2PqdDTLZpzKtLvwAgB785w4JNawMRvCNHakCT4YLMkhQ","7kSBEi9vYNrifkPJHNFuHMyvh6n9FD28FcPhEPsajDK9","5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs","8pdjd4AgLrCiJXDXoaB8SBXvfM2g6VJLrtxH9g2Q126d",,"ray hack funder (addr4)","USDT",50,50000000
